Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,813.550255990893,747.688045459929,926.507941009788,966.962032047533,971.633503058856,1076.08735259624,1121.83447075137,1286.9498431073,1333.74726659751,1570.69814518678,1765.53802828895,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512665,2211.28063454007
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.2733432760503
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,-11.7745360319214,6.12552202910163,11.655238221181,11.2714320572149,10.9127735503048,7.19975129292388,22.5277562007029,2.09628875042125,-2.16340442746143,3.81463031545211,16.5933467401627,7.30175646760432,4.82278547876986,0.56694454253261,2.44756300147404,-2.19752646733461,2.40365618765746,2.07134857783487,6.52147984832531,6.9629462552564,2.83899625081041,9.40623933931322,2.9616535410169
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,-2.35799044700136,2.23601941932175,-3.64331388234628,-12.6195382087159,-25.8706814974751,-25.290058564309,-15.7724198274304,-21.9126573355151,-14.9501951919169,-18.9559612272258,-21.5852741164653,-20.1704643881064,-15.7183027911684,..,..,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3471.66151072582,3861.3041361551,4300.81234082436,4661.39281830022,5000.34329467088,5427.87477337732,5865.30563672047,6566.53515410888,7285.02731350339,8228.34226777512,8812.75594953616,9627.08865200455,10207.7455326501,10526.2643721186,10570.9800140158,11259.2559553602,11662.0057774038,12078.8277189549,12771.0037929102,13696.8427457045,14792.2618929217,14512.053775245,16113.1365187234,19429.9213167081,21208.2100254534
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,51.0110303565873,63.454073132628,66.4910240323437,68.5250682234387,67.0205610427628,67.0471873068205,70.8723467754672,74.2670902393052,83.2020801053931,77.4517514962857,75.0949144008056,76.5433902447878,81.218568933066,76.5102006210933,75.8737138467897,75.4078455964825,71.801006339647,74.809862823171,78.1942495319136,75.6940706898154,75.3821602848745,59.5206994403142,75.5903160937554,84.6980639208685,82.4936845982876
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.10284998886902,5.6474714679938,3.81085737408868,3.6474762708812,5.19863530307683,3.15236892537025,3.30681814689954,2.47818888688769,4.3867093833438,4.11708542559394,2.41833605890835,4.49314320031891,2.31474379699794,1.04271460643407,0.288745964127756,1.54991706986272,0.563991350160876,-0.632653419095547,1.45073158124514,2.9665236560994,1.00059083830071,0.0410649973272115,3.44439880912799,9.86157415467682,6.06604947510885
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-4.83792386732012,-4.49092085179739,-5.542947808941,-9.37243799545941,-7.24966532306394,-4.98178261667359,-7.09724132095197,-7.5415759688391,-10.7781023817953,-15.6285296892255,-15.3804877728582,-11.3658658518304,-12.9331014515688,-10.2001762330966,-9.27418778932724,-10.7753990397848,-8.60488046763521,-7.59082599857198,-7.54422875202925,-6.60766413996776,-7.82064680790707,-8.62504716701021,-7.59590759205624,-5.87243640069213,-1.19632174783293
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8776.44209463643,9186.81590337785,9543.52035341031,10080.1825003517,10802.7506701297,11431.6856716154,12246.2692241793,12791.3412603745,13320.9641206136,13666.2181958374,13651.4472996123,14201.3659904784,14639.8779436268,14441.3293398806,14370.820661674,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944368871,16824.4879032987
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,50.9291093379713,62.8583436360347,54.5296491177208,56.5896052814114,57.7691353044878,61.3579975707176,66.8404602203906,65.9152919677621,67.5454733939763,71.0284922505261,64.2847547238993,63.4912159928425,62.2200899610479,60.7576393340605,59.151008157244,56.9235419669867,53.2046225904145,49.7609327925216,49.8208161712587,52.4361676779223,46.5068426081672,40.3897565625388,46.8370592599607,51.2023757404409,43.682914195572
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.8563363102205,22.6780091898695,8.01436296032362,1.37285594197843,8.94246223966068,11.4465037894298,12.3615933409306,10.7811837491585,7.09551578753664,15.1178821648641,-7.37374817582526,15.5569181228695,16.908708362389,8.0024465381386,0.892752993665269,1.45036466088149,-4.98674479527003,0.85668822422295,4.93800729466362,6.16467836481588,0.882992828066392,-4.71138391622452,15.9325995891296,22.9512626061838,0.854841037372282
