"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bosnia and Herzegovina","BIH","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.729335797292098","0.94590567455233","2.59567890788739","","","","","4.06279282588662","3.38407849706567","",
"Belize","BLZ","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6627861637443","69.5017474608632","54.6831425561334","69.2865801589624","41.2388512684118","43.6466853021362","44.0027669270833","40.3592433870253","27.3972779369627","20.435546875","23.1357899569615","19.5216271475984","23.3122636084104","22.6887621493913","24.9685531061174","27.8005650577553","36.5458141628288","38.065943875908","33.1193968649499","39.9449583179822","3.2001640156657","3.36233311334068","2.64436035861103","",
"Bolivia","BOL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5034586965952","33.2576879799093","24.8651834399039","42.0182480595282","49.357806616413","53.2333855877652","64.1233685952501","98.0385847590347","34.9066117583643","80.2189884135396","69.9718964577046","46.9748793568448","49.7904095719076","41.2668743209965","34.3599012775913","27.2184434286181","42.2432294466088","46.2664487772856","47.827647627193","63.3838235201946","66.9581653089287","48.8359602673449","40.699224128175","",
"Barbados","BRB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8432281927711","23.9431622371158","22.1752703745234","32.3965684055532","45.4293631840796","62.2448718143311","68.9750214923362","55.7780683118157","60.1505974791292","","","","","","","","","42.120412310206","85.499117420857","","74.3395314932266","50.0112123110784","55.7688690143371","58.0877610075033","60.7343344201281","62.9064425506014","58.7047500055284","53.797304473389","","","",
"Brunei Darussalam","BRN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.49502167841152","6.22878210431497","8.40443228759665","6.77385407827538","12.2142939358243","15.1124683106106","19.1817922200667","16.8893284593426","","","","","","","","","","","","","","","","","","23.685729548957","21.2912803799483","22.0297852271958","16.846936143352","152.667271048748","",
"Central African Republic","CAF","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","81.9223857609894","81.9122053341438","97.9716956449319","103.977884333423","","65.8173663136526","75.361103798574","69.1392313697818","79.9812472466487","88.8890772193001","93.6432228451638","87.7157300575536","95.8013258663538","76.9497403765056","83.0383980631914","77.0456998438274","102.843052758565","99.2709685281803","110.855764671647","139.515771792579","154.278987250564","170.651061514196","213.48055031446","103.500141588137","83.2586047944362","116.831457041084","101.640345797861","114.690672619493","126.346747568222","128.913321846832","148.864363431601","66.5588326938396","122.028302011667","134.24451997318","106.666121933061","112.667432969218","114.471175200682","116.041579457855","102.370078691396","130.466596582731","143.522053482469","112.320751199607","138.15815488345","159.538505256353","162.599381956033","126.983151424105","",
"Central Europe and the Baltics","CEB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86025728547482","9.14503540868628","10.3055378664963","10.0648303870176","12.7906736917395","13.383859911442","10.9214387765139","13.9572568300697","14.9554870839423","22.7776999218447","24.8049328096201","34.3451511788267","41.3592329977842","15.3455795547964","24.6641333340716","27.1315107890378","18.8374771434517","","26.9527401235925","21.8270456574344","22.6321559749081","23.1601682191106","28.9719999322921","19.6039357750071","19.4156640800541","21.1262316744208","20.886150160403","16.1014747702995","",
"Switzerland","CHE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","25.1573937867168","30.5212627373733","40.8255762174185","37.2038075720683","37.8964288217788","34.865936479512","34.163861590532","33.6791259777556","38.4537154161256","36.6152808907671","75.7836924617587","80.8650662094167","65.1015825953625","65.1116001010613","82.138903119755","59.3138396010364","70.537859868005","69.3544981151107","99.501061780299","94.5588810622816","112.829257361019","117.694801475774","195.17042141862","227.1144034009","227.691182218586","283.764488384759","184.015277518579","198.080931922611","200.815468143075","205.266553359768","224.415879358657","274.555956843088","259.74137859237","155.188515971916","192.10785405491","205.285869216028","152.191289307885","179.691521499822","218.15684108399","205.813680009389","218.885413149087","204.007104415449","242.591347670345","198.624946928415","254.301608931646","269.758015141163","286.166936793035","223.66388401479","",
